  SITE      DAY     MONTH    YEAR     RMILE   STATION  LB.DIST   DEPTH   MEANVEL    QW      CONC      QS      LOAD     TEMP      DO       PH      COND     TURB    SECCHI     TOC      CO3      DOC      POC      TUN      TFN      NO2
M376.5         13        6       85    376.5        3      707      2.9    0.236  1498.29    29.69  382.557  4740.07       20      7.2      7.9      330       24     54.6     13.8       33     12.7      1.1      1.6      1.5     0.04
M376.5         13        6       85    376.5        5     1115     1.25    0.132  1498.29    84.59  262.772  4740.07       20      6.5      7.7      340       34     50.2       14     32.6     12.1      1.9      1.6      1.5     0.05
M376.5         13        6       85    376.5        7     1570      0.7    0.065  1498.29    84.59  307.459  4740.07       19      4.8        8      335       29     28.6     15.9     32.9     14.2      1.7      1.5      1.4     0.05
M376.5         26        8       85    376.5        2      475     6.74    0.209  984.624     12.5  331.507  1311.73       20      -99      7.4      340       12       66     21.6     33.9     18.4      3.2      1.1        1     0.02
M376.5         26        8       85    376.5        4      892     3.15    0.148  984.624     27.7  243.124  1311.73       20      -99        8      330        9       76     20.1     33.7     18.7      1.4      1.1        1     0.03
M376.5         26        8       85    376.5        5     1115     1.23    0.095  984.624     27.7  60.9375  1311.73       20      -99      8.1      330        7       96     20.2     33.2     18.9      1.3      1.2      1.1     0.04
M376.5         26        8       85    376.5        6     1350     0.75    0.115  984.624     27.7  44.9796  1311.73       20      -99      8.1      330        8       75     20.8     33.3     19.2      1.6      1.4      1.3     0.07
M377.8          8       11       84    377.8        1      170     5.88    0.567  3719.69      148  12195.9  44884.2        7      9.9      8.3      260      134      -99     26.1       35     18.8      7.3      2.8      2.8     0.11
M377.8          8       11       84    377.8        3      795     2.11    0.388  3719.69      164  3318.55  44884.2        7      9.9      8.5      250      114      -99     23.5     31.8       18      5.5        3      2.9     0.12
M377.8          8       11       84    377.8        6     1674      3.9    0.477  3719.69      132  6069.42  44884.2        7       10      8.1      255       84      -99     23.4     31.8     18.9      4.5      3.5      3.4     0.12
M377.8          8       11       84    377.8        7     1966     1.55    0.336  3719.69      132  1699.16  44884.2        7      9.9      8.6      255       90      -99     23.1     31.6     18.1        5      3.8      3.7     0.12
M377.8         20        3       85    377.8        2      608     5.17    0.563  3104.68      108  7769.86  29443.7      5.5     11.9      -99      230      400       25     11.8     34.1      8.7      3.1      5.5      5.5     0.15
M377.8         20        3       85    377.8        4     1203     2.72    0.394  3104.68      117  3099.14  29443.7        5     11.6      -99      230      432       17      9.5     33.7      5.9      3.6      4.3      4.2     0.15
M377.8         20        3       85    377.8        6     1813     2.28    0.251  3104.68       96  1357.91  29443.7      5.5     11.4      -99      245      528       22      7.5     33.3      7.2      0.3      4.1      4.1     0.15
M377.8         20        3       85    377.8        8     2300     0.83     0.18  3104.68       96  354.497  29443.7        6     11.3      -99      250      352       20      9.9     31.4      5.8      4.1      3.6      3.5     0.15
M377.8         20        3       85    377.8       10     2879     0.82    0.084  3104.68       96  163.439  29443.7        7     11.2      -99      260      272       25      9.8     31.7      9.1      0.7      3.4      3.3     0.15
M377.8         12        6       85    377.8        1      320     5.23    0.267  1461.97    22.71  783.828  6802.21       20      5.4      7.7      350       21     59.7     17.9       36     15.2      2.7      1.6      1.5     0.04
M377.8         12        6       85    377.8        3      910     1.71    0.204  1461.97    61.11  526.901  6802.21       20      4.5      7.8      340      -99     63.5     17.7     32.9     15.3      2.4      1.4      1.4     0.04
M377.8         12        6       85    377.8        5     1500     2.95    0.189  1461.97    86.91  1197.69  6802.21       20      4.6      7.6      340       20     54.6     17.1       33     16.2      0.9      1.4      1.3     0.05
M377.8         12        6       85    377.8        6     1800     2.19    0.185  1461.97    86.91  870.314  6802.21       20      4.5      7.6      340     16.5     59.7     16.2     32.5     15.4      0.8      1.4      1.4     0.07
M377.8         12        6       85    377.8        7     2045     0.73    0.146  1461.97    86.91  1099.29  6802.21       17      5.5      8.2      340     42.5       26       17     32.9     14.5      2.5      1.5      1.5     0.07
M377.8         26        8       85    377.8        2      605     4.83    0.183   902.58     20.7   452.23  1670.51       20      -99      8.1      330       14       58     21.7     33.4     19.1      2.6      1.1        1     0.03
M377.8         26        8       85    377.8        4     1190     2.21    0.113   902.58    18.05  111.414  1670.51       20      -99      7.7      325       12     56.7     19.3     33.5     19.1      0.2      1.2        1      0.3
M377.8         26        8       85    377.8        6     1800      2.3    0.101   902.58    14.06  80.7282  1670.51       20      -99      7.5      325        9       90     20.5     33.4     19.5        1      1.2      1.2     0.04
M377.8         26        8       85    377.8        7     2085     0.65    0.042   902.58    14.06  39.4432  1670.51       20      9.8      7.2      325      7.8       65     21.3     33.1     19.9      1.4      1.5      1.5     0.13
M394.6          6       11       84    394.6        3      450     1.88    0.353  3811.46      204  6157.68  70235.5      6.5       10      7.9      270      118      -99     27.3     36.7     20.4      6.9      2.8      2.5     0.11
M394.6          6       11       84    394.6        4      600     4.47    0.626  3811.46      200  7084.25  70235.5      6.5     10.2      7.6      260      128      -99     28.1     36.4     21.6      6.5      2.5      2.4     0.12
M394.6          6       11       84    394.6        6      896      4.6    0.488  3811.46      154  4376.03  70235.5      6.5       10      7.9      245      110      -99     27.3     34.3     23.1      4.2      2.2        2     0.11
M394.6          6       11       84    394.6       10     1465     4.22    0.705  3811.46      204   7682.7  70235.5      6.5      9.9      8.1      250      122      -99       29     33.4     20.3      8.7      3.2        3     0.12
M394.6         28        8       85    394.6        8      -99     4.13    0.539      -99    41.71      -99      -99       23      -99      8.5      320       27       50     17.9     33.6     15.3      2.6        1     0.75     0.01
M397.1          5       11       84    397.1        1       61     2.55    0.496  1880.92      203  1583.74  33466.8        7     10.4      7.8      260      118      -99     30.2     33.9     24.3      5.9      2.2      2.1     0.12
M397.1          5       11       84    397.1        2      128     7.03    0.612  1880.92      208  5519.95  33466.8      7.5     10.4      7.9      255      118      -99     29.3     34.2     21.7      7.6      2.2      2.1     0.13
M397.1          5       11       84    397.1        6      453     3.35    0.699  1880.92      206  2975.46  33466.8      7.5     10.2        8      255      118      -99     26.8     33.9     19.9      6.9      2.8      2.7     0.13
M397.1          5       11       84    397.1        9      687     2.21    0.571  1880.92      202  1572.34  33466.8        8      8.2      8.2      260      110      -99     27.9     33.1       22      5.9      3.3      3.1     0.14
M397.1         10        4       86    397.1        1       48        3    0.592  2741.75     90.4      -99      -99       11      7.5      -99      235       38       44      -99      -99      -99      -99      -99      -99      -99
M397.1         10        4       86    397.1        5      240     6.71    0.771  2741.75    76.45      -99      -99       11      7.3      -99      255       35       37      -99      -99      -99      -99      -99      -99      -99
M397.1         10        4       86    397.1        9      425      4.7    0.883  2741.75    78.98      -99      -99       11      7.4      -99      265       37       36      -99      -99      -99      -99      -99      -99      -99
M402.2          5       11       84    402.2        4      228     4.68    0.718  1947.53      201  3578.52  34371.1        7     10.2      7.9      250       94      -99     24.4       34     16.7      7.7      2.2      2.1     0.11
M402.2          5       11       84    402.2        6      358     5.33    0.556  1947.53      205  3218.79  34371.1      7.5     10.2      7.7      240      126      -99     20.7     33.2     19.8      0.9      2.4      2.3     0.13
M402.2          5       11       84    402.2        9      510     6.04    0.635  1947.53      203  4125.18  34371.1        7     10.2      7.9      255      132      -99     21.7     33.3     15.4      6.3      2.9      2.8     0.13
M402.2          6        3       85    402.2        1      -99     2.81      -99      -99      752      -99      -99        1     11.2      7.5      180      944      -99     16.4     31.9      6.4       10      4.2      3.6     0.17
M402.2          6        3       85    402.2        3      -99     4.85      -99      -99      633      -99      -99        1     11.2      7.4      175      880      -99     15.2     31.7        6      9.2        4      3.7     0.16
